distance (m),altitude (m)
2290.84608,2918.04
2293.587496,2918.24
2296.318219,2918.43
2299.034637,2918.6
2301.715356,2918.6
2304.371073,2918.76
2307.001388,2918.91
2309.607103,2919.05
2312.20131,2919.05
2314.782023,2919.05
2317.351625,2919.18
2319.909724,2919.18
2322.437656,2919.3
2324.890209,2919.5
2327.2848,2919.57
2329.646055,2919.64
2331.98473,2919.7
2334.307094,2919.76
2336.617993,2919.85
2338.932024,2919.85
2341.25161,2919.95
2343.576397,2920.08
2345.918207,2920.23
2348.265215,2920.39
2350.623692,2920.39
2352.990503,2920.55
2355.362508,2920.71
2357.745987,2920.87
2360.151322,2921.01
2362.579249,2921.01
2365.037732,2921.14
2367.534726,2921.26
2370.070992,2921.36
2372.640201,2921.45
2375.248694,2921.45
2377.876632,2921.52
2380.518056,2921.58
2383.168218,2921.64
2385.812421,2921.7
2388.440359,2921.7
2391.048851,2921.77
2393.626393,2921.84
2396.170993,2921.91
2398.690207,2921.98
2401.17647,2921.98
2403.640509,2922.04
2406.093062,2922.1
2408.5321,2922.15
2410.956878,2922.2
2413.379249,2922.2
2415.782173,2922.24
2418.162511,2922.29
2420.51821,2922.34
2422.845775,2922.38
2425.132026,2922.38
2427.390497,2922.43
2429.618071,2922.48
2431.820983,2922.53
2434.006895,2922.6
2436.184805,2922.6
2438.35716,2922.68
2440.534739,2922.76
2442.726539,2922.83
2444.92356,2922.9
2447.132028,2922.9
2449.351608,2922.94
2451.58196,2922.97
2453.823763,2922.98
2456.08189,2923
2458.354251,2923
2460.654392,2923.01
2462.990289,2923.02
2465.365434,2923.04
2467.78188,2923.06
2470.245919,2923.06
2472.757183,2923.08
2475.31806,2923.12
2477.932109,2923.17
2480.598531,2923.25
2483.323697,2923.25
2486.104423,2923.35
2488.940274,2923.47
2491.832117,2923.58
2494.776292,2923.7
2497.770919,2923.7
2500.81555,2923.82
2503.909711,2923.93
2507.054348,2924.05
2510.245722,2924.18
2513.490365,2924.18
2516.776677,2924.32
2520.09304,2924.48
2523.440466,2924.66
2526.809602,2924.87
2530.190364,2924.87
2533.57946,2925.1
2536.973594,2925.36
2540.365468,2925.63
2543.748491,2925.92
2547.115364,2925.92
2550.46279,2926.23
2553.779153,2926.53
2557.059909,2926.84
2560.306834,2927.14
2563.509808,2927.14
2566.668334,2927.43
2569.781938,2927.72
2572.846014,2927.99
2575.865182,2928.25
2578.83203,2928.25
2581.751653,2928.5
2584.626389,2928.73
2587.459896,2928.95
2590.254084,2929.16
2593.018142,2929.16
2595.746086,2929.36
2598.443061,2929.54
2601.107113,2929.73
2603.737428,2929.91
2606.334809,2929.91
2608.893298,2930.1
2611.415289,2930.29
2613.898774,2930.47
2616.345773,2930.65
2618.757031,2930.65
2621.132176,2930.83
2623.473628,2931.01
2625.782103,2931.18
2628.062449,2931.35
2630.318143,2931.35
2632.55439,2931.51
2634.773632,2931.68
2636.976544,2931.85
2639.165233,2932.03
2641.340365,2932.03
2643.509942,2932.21
2645.676411,2932.4
2647.847376,2932.6
2650.022177,2932.81
2652.213977,2932.81
2654.425223,2933.01
2656.666685,2933.22
2658.944602,2933.42
2661.249946,2933.61
2663.588978,2933.61
2665.955789,2933.82
2668.344459,2934.02
2670.755718,2934.24
2673.191606,2934.47
2675.644533,2934.47
2678.12524,2934.71
2680.636122,2934.97
2683.180722,2935.23
2685.763819,2935.49
2688.391757,2935.49
2691.064142,2935.75
2693.786115,2936.01
2696.558507,2936.26
2699.374916,2936.52
2702.247313,2936.52
2705.155824,2936.78
2708.1,2937.04
2711.072403,2937.29
2714.055463,2937.55
2717.030645,2937.55
2719.997493,2937.8
2722.936113,2938.05
2725.841846,2938.31
2728.733248,2938.57
2731.597312,2938.57
2734.455819,2938.83
2737.319446,2939.09
2740.191844,2939.35
2743.072135,2939.6
2745.97509,2939.6
2748.891935,2939.85
2751.819444,2940.12
2754.755735,2940.41
2757.69991,2940.71
2760.647312,2940.71
2763.597492,2941.02
2766.549074,2941.33
2769.502958,2941.62
2772.458243,2941.9
2775.416757,2941.9
2778.386383,2942.17
2781.374998,2942.45
2784.386293,2942.76
2787.424904,2943.11
